Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDC60,1469.9034894,OUT049
FDA48,3516.93971896,OUT018
FDZ36,5200.4351947,OUT027
FDK27,1991.05342778,OUT045
FDW23,665.44741159,OUT018
FDM14,1666.34874,OUT018
FDM14,1593.63115409,OUT013
FDW60,2882.27988028,OUT018
FDE21,1944.2245564,OUT013
NCM42,1598.53339169,OUT035
FDY59,227.329498863,OUT010
DRI49,1400.93452121,OUT049
FDT28,366.658750342,OUT019
FDQ22,668.260446878,OUT018
FDR60,1331.65070858,OUT049
FDC50,233.302622476,OUT019
FDV24,2495.81916963,OUT013
DRF48,489.231253791,OUT010
FDQ47,662.176133072,OUT046
DRN36,1529.83011457,OUT049
NCY06,2008.01358553,OUT035
FDE52,1484.74545028,OUT035
NCB54,2008.01358553,OUT045
NCF31,2500.57421118,OUT035
FDJ08,5228.4093011,OUT027
NCC07,1584.21219819,OUT017
NCD19,1193.9565756,OUT027
FDL46,1972.7890398,OUT049
FDM20,3938.24585642,OUT045
NCI06,448.807375525,OUT010
DRM11,4056.03449604,OUT035
NCH07,2540.69249709,OUT018
FDS23,2008.01358553,OUT013
FDO49,748.98492938,OUT018
FDS35,1101.41817268,OUT049
DRK39,1422.25216768,OUT045
DRI39,931.424100553,OUT049
FDV04,2542.67516114,OUT017
NCN14,3052.56008119,OUT035
FDH08,3801.40911403,OUT013
FDS20,3052.56008119,OUT046
FDV40,1153.37280061,OUT049
FDZ48,260.107028275,OUT010
FDS24,2574.42719892,OUT027
FDK44,2856.68658711,OUT049
FDS48,2494.92727313,OUT045
FDK26,490.919456436,OUT010
FDD23,3052.56008119,OUT045
NCH54,2554.39957603,OUT017
NCP14,237.531015862,OUT010
FDM60,129.568768788,OUT010
FDV24,2495.81916963,OUT017
FDH08,3589.84030119,OUT018
FDS12,2970.52478064,OUT027
FDR39,4860.10969249,OUT027
FDP12,962.924809755,OUT027
DRF60,5836.7523256,OUT027
FDC09,1579.86629121,OUT035
FDF50,3056.27529212,OUT018
FDG28,3937.994342,OUT035
NCE19,911.76616521,OUT017
NCM53,248.364501786,OUT010
NCN18,1688.09930992,OUT049
FDF32,3120.74288183,OUT035
FDF11,3912.85841515,OUT013
DRI59,3793.03581604,OUT049
NCG54,2761.82336125,OUT035
FDM44,1568.46031796,OUT046
FDT57,3660.99587893,OUT018
FDV24,2495.81916963,OUT046
FDI50,574.715503337,OUT019
FDS09,778.146831116,OUT035
NCC31,4111.59558674,OUT027
FDQ07,575.335000029,OUT019
FDC22,3052.56008119,OUT017
FDZ56,2756.68815412,OUT046
FDZ40,129.568768788,OUT019
FDS46,2924.92049395,OUT027
DRD24,2027.44645363,OUT045
FDV45,3052.56008119,OUT017
FDL26,2509.64609702,OUT045
FDA56,1999.27119589,OUT018
FDN27,1954.76869635,OUT046
FDM20,3926.64418212,OUT049
FDO16,1422.25216768,OUT017
FDL03,3052.56008119,OUT035
FDE58,1947.35474514,OUT046
FDI02,2918.05078555,OUT027
NCC55,129.568768788,OUT019
FDR03,3295.66958228,OUT018
FDB14,1519.45634019,OUT017
FDR45,3925.66467381,OUT013
NCN07,2008.01358553,OUT017
FDM51,244.947974043,OUT019
FDT52,5835.22405874,OUT027
FDL26,2509.64609702,OUT046
NCZ42,3889.10158877,OUT046
DRI47,371.624293332,OUT019
FDW40,2027.44645363,OUT013
FDN34,2756.68815412,OUT046
FDS01,2906.55750315,OUT035
NCG55,1944.2245564,OUT045
FDC11,1463.03984935,OUT035
FDX35,3559.6915838,OUT018
NCB06,2550.96153283,OUT046
FDR09,574.553056695,OUT019
FDC53,1529.83011457,OUT017
FDY45,4024.53548252,OUT013
FDA22,383.166490745,OUT010
FDE02,1525.48059442,OUT035
FDW21,1563.30738297,OUT045
FDV34,1116.67700881,OUT046
FDS59,1595.99889973,OUT049
NCW17,2008.01358553,OUT017
NCK54,1947.35474514,OUT046
FDG17,574.715503337,OUT019
FDG35,2856.68658711,OUT017
FDD08,129.568768788,OUT010
NCO07,3689.74186489,OUT017
FDJ10,275.765444457,OUT010
FDW36,1579.86629121,OUT017
FDW21,236.620545749,OUT010
FDY19,1950.17252899,OUT017
DRE03,748.98492938,OUT013
NCC55,664.87626991,OUT049
FDH52,132.318561035,OUT010
FDO09,4069.15849533,OUT017
FDU43,3906.38160603,OUT045
FDX09,425.808105708,OUT010
FDH40,202.552850587,OUT019
FDW58,1579.86629121,OUT017
FDC47,3782.12119342,OUT017
NCR41,1525.48059442,OUT035
DRG49,3907.76808798,OUT035
FDC52,4078.89852739,OUT027
FDY13,1124.69016831,OUT046
FDY35,683.705318943,OUT013
FDI35,3037.02083935,OUT017
NCU18,2030.114711,OUT049
FDY33,2540.69249709,OUT018
FDC15,4168.71661493,OUT027
FDU01,3052.56008119,OUT049
NCU42,2760.54425659,OUT046
NCV29,2883.55898494,OUT018
NCY30,3052.56008119,OUT017
FDQ46,1718.65130139,OUT049
FDG58,4111.59558674,OUT027
FDK33,3689.74186489,OUT017
NCD07,1941.05460484,OUT045
NCX29,4059.23118379,OUT027
NCT42,2493.64816848,OUT013
DRN59,748.186466712,OUT035
FDI44,1330.76724475,OUT035
FDA45,2888.9413353,OUT049
FDP31,1081.475519,OUT045
FDY01,1941.05460484,OUT046
FDT09,2008.01358553,OUT018
DRH03,2825.25526918,OUT027
FDA36,3049.64637667,OUT018
NCF31,2508.36699236,OUT017
FDG14,2495.81916963,OUT049
FDG28,5836.7523256,OUT027
FDU14,4026.6163161,OUT049
FDY47,282.821621766,OUT019
FDI56,1488.45574944,OUT049
DRD01,917.274613892,OUT013
FDM22,910.118204032,OUT046
FDH33,673.354097172,OUT013
DRZ24,1965.49402538,OUT013
NCQ38,1579.86629121,OUT046
FDO16,2375.48606437,OUT027
FDU07,4071.21490444,OUT027
NCB07,3052.56008119,OUT013
FDU48,2008.01358553,OUT045
NCM43,2566.87080698,OUT045
FDR31,371.037874817,OUT010
DRK49,671.063772542,OUT018
NCI30,575.217019576,OUT010
DRD60,3006.93751171,OUT017
NCG19,3844.96288105,OUT046
FDH12,1579.86629121,OUT035
FDM32,1515.95753023,OUT035
FDM27,2513.68035817,OUT035
NCU53,4228.07926274,OUT027
NCQ18,1534.68300074,OUT046
FDS10,2947.19241259,OUT013
FDB33,4168.71661493,OUT027
FDI12,1457.87490314,OUT013
NCW42,3740.16595887,OUT013
NCC06,2008.01358553,OUT018
FDW02,2008.01358553,OUT017
NCD43,1579.86629121,OUT017
FDM57,1484.97202508,OUT018
FDA58,3887.20565109,OUT017
FDK56,3052.56008119,OUT046
FDP52,3816.91998617,OUT045
FDW20,1999.27119589,OUT018
FDS52,1558.6323658,OUT049
NCT29,1988.33723646,OUT018
NCL54,2884.20382446,OUT013
FDC05,3062.55423688,OUT045
FDF34,3052.56008119,OUT035
FDP03,2964.77978901,OUT027
FDD32,197.65262662,OUT010
FDZ10,2008.01358553,OUT045
FDZ40,908.480880745,OUT035
FDD51,677.455036911,OUT018
NCY30,427.777716393,OUT019
FDP58,3716.44126268,OUT017
FDV49,4061.44972389,OUT017
FDY24,129.568768788,OUT019
NCO55,1591.27057092,OUT017
FDR13,1947.35474514,OUT017
FDS51,1029.1385386,OUT017
FDP26,1579.86629121,OUT045
NCB54,2974.56012237,OUT027
FDF32,3052.56008119,OUT017
FDN31,3049.64637667,OUT018
DRM48,662.176133072,OUT017
FDN20,2752.06949654,OUT049
DRL01,3811.65992878,OUT046
FDV56,1591.27057092,OUT049
DRH13,2891.85373398,OUT027
FDA03,2494.92727313,OUT017
FDF47,5836.7523256,OUT027
FDX32,2494.92727313,OUT046
FDX57,1527.16192082,OUT049
NCA30,3052.56008119,OUT045
FDO49,751.276874541,OUT013
FDL04,245.582774862,OUT019
DRM48,662.74876288,OUT035
FDR16,3685.43022662,OUT013
NCC19,3049.64637667,OUT018
NCE42,3892.7244067,OUT045
FDY24,910.118204032,OUT017
FDH19,2856.68658711,OUT049
FDJ46,2855.40748246,OUT013
FDN45,574.553056695,OUT010
FDY08,2008.01358553,OUT035
FDZ37,1459.6407615,OUT035
NCT30,748.98492938,OUT045
DRY23,673.354097172,OUT018
NCZ30,1999.27119589,OUT018
FDC44,1934.01559365,OUT018
FDB45,1579.86629121,OUT035
FDY04,2562.01689814,OUT013
FDM27,2546.07484745,OUT046
FDZ43,3909.67497497,OUT017
FDT39,372.454344554,OUT019
NCC06,280.546141989,OUT019
FDL15,4111.59558674,OUT027
FDL57,4043.4781535,OUT017
FDU08,1532.13365109,OUT046
FDK40,4083.38644255,OUT017
FDQ12,573.611776862,OUT010
FDS48,2497.09827428,OUT017
FDP09,3689.74186489,OUT045
FDW21,1534.68300074,OUT049
FDY25,3006.93751171,OUT035
DRE13,1448.57503824,OUT017
FDV43,129.568768788,OUT019
FDD22,1718.65130139,OUT045
FDM46,230.559502765,OUT019
NCO30,469.8467557,OUT010
FDM25,2855.40748246,OUT046
NCN41,1999.27119589,OUT049
FDU24,1519.45634019,OUT045
FDZ50,3052.56008119,OUT046
FDP45,4004.54026591,OUT013
NCM54,2008.01358553,OUT045
FDW10,418.911843051,OUT019
FDP20,2008.01358553,OUT017
FDK32,2497.09827428,OUT046
FDN52,1471.90648331,OUT049
FDM58,1688.09930992,OUT045
FDZ46,2918.05078555,OUT027
NCA18,1947.35474514,OUT018
FDD35,1999.27119589,OUT046
NCK31,751.276874541,OUT035
FDI40,2867.05942279,OUT027
FDT50,235.886930926,OUT019
NCT06,2566.87080698,OUT046
FDT31,3052.56008119,OUT035
FDT45,891.125663408,OUT049
FDT13,3052.56008119,OUT045
FDO50,1486.63499694,OUT045
NCU18,275.411540786,OUT010
NCR54,3052.56008119,OUT049
NCO18,2883.55898494,OUT018
FDU09,913.284628393,OUT045
FDT13,3049.64637667,OUT018
FDE09,1718.65130139,OUT046
NCK53,244.947974043,OUT019
FDG45,3673.9689992,OUT049
DRH15,694.483249482,OUT035
FDO21,574.715503337,OUT019
FDD14,5198.90692784,OUT027
FDC09,1579.86629121,OUT046
FDH45,974.543616775,OUT027
FDV32,1082.40170272,OUT046
FDG12,1972.7890398,OUT035
FDS32,2008.01358553,OUT013
NCL55,3825.97956411,OUT018
DRE01,3899.99132018,OUT035
DRE15,1335.87029689,OUT049
NCL42,3920.53911337,OUT045
FDP31,1089.37034255,OUT013
FDN33,1532.95752733,OUT018
FDZ59,2565.59170232,OUT046
FDE45,430.955661712,OUT010
FDJ07,1965.49402538,OUT013
FDQ45,3049.64637667,OUT018
FDM33,5836.7523256,OUT027
FDO15,153.017888309,OUT010
FDM46,1519.45634019,OUT013
FDR03,3420.25797292,OUT045
FDY49,2673.3443635,OUT018
FDQ60,1972.7890398,OUT045
FDW10,2856.68658711,OUT049
FDO51,689.456381776,OUT049
FDJ40,1595.99889973,OUT018
FDS20,3047.68549241,OUT018
FDU45,1804.11610126,OUT013
FDV02,2756.68815412,OUT035
FDN09,3923.09766704,OUT046
NCM55,5198.90692784,OUT027
FDN23,2488.71606786,OUT018
FDY31,371.893183572,OUT010
FDW03,237.531015862,OUT010
FDD14,3052.56008119,OUT046
FDV23,2008.01358553,OUT017
DRI03,2855.40748246,OUT045
FDN13,1534.68300074,OUT035
FDF45,1248.34264666,OUT027
FDU46,1463.03984935,OUT035
FDB57,3740.99446189,OUT049
FDV12,1534.68300074,OUT049
FDQ58,2495.81916963,OUT013
NCA18,1941.05460484,OUT017
FDH52,1031.2471264,OUT049
FDM24,2491.17952263,OUT018
NCP43,4867.8663446,OUT027
NCO18,428.952041223,OUT019
FDM32,1495.69651964,OUT017
NCL07,664.87626991,OUT017
FDK03,4008.461004,OUT013
FDP59,1579.86629121,OUT017
FDQ24,4008.23349128,OUT049
FDQ16,1598.53339169,OUT018
FDU44,2550.96153283,OUT013
FDH28,129.568768788,OUT010
FDV28,129.568768788,OUT019
FDM22,906.874280963,OUT045
FDR56,3052.56008119,OUT046
FDV39,3052.56008119,OUT049
FDU37,178.47363311,OUT019
FDQ11,575.271364313,OUT010
FDX02,3760.40926124,OUT045
NCS42,1532.95752733,OUT018
FDY57,2825.25526918,OUT027
FDB21,3893.78525274,OUT049
FDE28,3827.82715494,OUT017
FDQ55,1934.01559365,OUT017
FDA48,3727.51341372,OUT049
FDZ19,2855.40748246,OUT045
NCC43,4009.36660103,OUT045
NCV18,1422.80251338,OUT046
NCA42,2539.41339244,OUT018
FDY45,4050.28754619,OUT046
NCC30,2947.19241259,OUT045
FDM57,1450.97136074,OUT013
FDL09,387.328831257,OUT010
FDB09,2970.52478064,OUT027
FDT44,1972.7890398,OUT035
NCT06,4228.07926274,OUT027
FDX26,3052.56008119,OUT049
FDK32,2507.23568961,OUT013
DRA12,2049.06462586,OUT046
FDO46,485.028217779,OUT010
FDE52,1463.09128763,OUT013
NCH42,3806.71315181,OUT045
FDV08,673.683798531,OUT035
FDB47,3477.69176598,OUT018
FDC28,260.107028275,OUT010
FDD22,1934.01559365,OUT046
FDS07,2918.05078555,OUT027
DRI13,3701.87286564,OUT045
FDG32,3524.70586757,OUT018
FDU14,4039.1808619,OUT017
FDD28,129.568768788,OUT019
NCP41,1598.53339169,OUT017
FDS08,2855.40748246,OUT049
FDX47,2529.66760934,OUT045
FDC53,242.936701457,OUT019
FDQ19,3930.41222039,OUT035
FDL14,2508.36699236,OUT045
FDM33,573.997195719,OUT019
FDA51,1934.01559365,OUT045
FDZ27,748.98492938,OUT018
FDT04,671.482147233,OUT046
DRC13,2002.50192574,OUT049
FDR16,5836.7523256,OUT027
FDQ03,5836.7523256,OUT027
FDE38,2702.25445499,OUT035
DRH23,1198.96433985,OUT027
FDT11,490.565689791,OUT019
FDD09,2964.42380097,OUT035
FDR40,1422.98267392,OUT045
FDX07,3052.56008119,OUT017
FDR07,1529.83011457,OUT035
FDA51,1936.18614358,OUT017
FDT59,573.808203838,OUT019
FDF20,3052.56008119,OUT017
FDR13,1941.05460484,OUT045
FDY26,3682.41661111,OUT049
FDW04,2008.01358553,OUT017
FDK52,3810.23570807,OUT017
FDN60,2528.49740197,OUT049
FDM09,414.019686142,OUT019
FDP46,1473.82672884,OUT049
FDB50,178.018793308,OUT019
NCQ29,4035.57208526,OUT049
FDP16,5835.22405874,OUT027
FDX33,2544.30007781,OUT018
FDP07,507.047181057,OUT010
FDN22,4020.73968099,OUT046
FDF39,4053.8969574,OUT049
FDS21,1007.65679229,OUT017
NCM42,1591.27057092,OUT013
FDK50,380.061421754,OUT019
DRF13,4071.21490444,OUT027
FDH35,2561.48845662,OUT018
FDP60,1539.60580394,OUT018
DRJ49,2974.56012237,OUT027
NCT42,367.118966873,OUT019
FDE38,2697.60161233,OUT049
FDI04,3062.55423688,OUT049
NCH54,2533.45127691,OUT045
FDT56,966.552166896,OUT049
DRD15,3594.96973949,OUT018
FDV58,3052.56008119,OUT013
FDP21,3052.56008119,OUT049
FDH05,3798.03098321,OUT013
FDR10,4221.03741843,OUT027
NCP06,2494.92727313,OUT045
FDF33,1588.83804222,OUT049
DRK37,3052.56008119,OUT013
DRH49,1422.25216768,OUT045
FDT58,2684.96072024,OUT013
FDD41,1579.86629121,OUT018
FDP40,1678.5484843,OUT018
FDM51,2867.05942279,OUT027
FDO45,201.083708484,OUT010
FDW33,237.531015862,OUT010
FDY24,908.480880745,OUT045
FDB10,573.566690908,OUT010
FDM40,2030.114711,OUT035
NCI06,3006.93751171,OUT017
FDW12,342.350124061,OUT019
FDX48,4111.59558674,OUT027
NCW05,2883.61696941,OUT027
FDX27,1525.48059442,OUT017
DRM37,3062.55423688,OUT045
FDA38,3903.40665559,OUT045
FDR36,667.930745519,OUT046
FDZ45,3116.34947943,OUT046
FDG05,2544.7957428,OUT017
FDK28,4046.82914787,OUT013
FDV47,1454.424377,OUT045
FDN21,2550.96153283,OUT045
FDP20,2970.52478064,OUT027
FDI35,3037.02083935,OUT045
DRY23,674.124641452,OUT013
FDA56,1999.27119589,OUT017
FDB09,1999.27119589,OUT013
NCO26,2924.92049395,OUT027
FDQ49,2518.38061232,OUT018
FDI52,2960.62152296,OUT027
FDZ44,2924.92049395,OUT027
FDZ09,2561.48845662,OUT018
FDY03,1934.01559365,OUT049
NCG42,2008.01358553,OUT017
DRI13,5836.7523256,OUT027
FDQ32,2008.01358553,OUT013
FDW16,1488.52906717,OUT035
FDU27,748.98492938,OUT046
FDR28,385.621311527,OUT010
FDQ49,382.053450113,OUT010
FDS37,1941.05460484,OUT046
FDW26,3511.10168188,OUT018
FDX12,3723.80679628,OUT018
NCP06,2494.92727313,OUT013
FDW45,371.413530685,OUT010
NCN30,1525.48059442,OUT049
FDN24,891.125663408,OUT049
NCL41,962.924809755,OUT027
FDR02,258.596293425,OUT019
FDD09,441.178786147,OUT010
FDS33,201.083708484,OUT010
FDU22,1988.33723646,OUT045
FDI53,2558.4095416,OUT013
DRH01,2856.68658711,OUT049
FDX32,2054.85488691,OUT013
NCP30,668.260446878,OUT018
FDB60,3052.56008119,OUT045
FDB14,1519.45634019,OUT049
NCP02,914.917403863,OUT035
FDJ10,2008.01358553,OUT017
FDG34,1678.5484843,OUT046
NCB18,1471.92871752,OUT017
FDM16,1143.34553122,OUT049
FDW25,1484.24151883,OUT018
FDB35,223.962930695,OUT010
DRN11,2110.86880256,OUT013
FDF41,574.122551884,OUT019
FDH16,1470.99688365,OUT045
NCQ50,3500.07367963,OUT018
DRH23,963.525609983,OUT018
DRJ37,2495.81916963,OUT013
DRJ24,5198.90692784,OUT027
FDY16,3052.56008119,OUT035
FDQ27,1579.86629121,OUT045
FDZ33,2493.64816848,OUT045
FDF29,2008.01358553,OUT045
FDA08,2562.01689814,OUT049
FDG31,1078.26265713,OUT046
FDE34,458.536054896,OUT019
NCR30,1406.89067847,OUT027
FDV33,4060.50721032,OUT035
DRZ24,1991.05342778,OUT018
NCL54,2856.68658711,OUT035
FDR12,2856.68658711,OUT049
NCC54,3884.40214416,OUT046
DRN59,748.186466712,OUT013
FDX50,260.60951525,OUT019
FDV31,4763.13822653,OUT027
NCA29,4432.04925057,OUT027
FDW60,2882.92471981,OUT049
FDX08,3052.56008119,OUT017
DRD49,3855.49218037,OUT013
FDD33,3818.0388114,OUT046
FDW35,673.683798531,OUT013
FDJ36,1579.86629121,OUT017
FDV51,2627.54494144,OUT035
FDW36,1588.83804222,OUT046
FDH35,2566.87080698,OUT046
NCS30,2974.56012237,OUT027
FDN49,664.546568551,OUT017
FDL08,3724.0509458,OUT018
FDI09,3904.28522929,OUT013
FDP19,2008.01358553,OUT018
FDU21,129.568768788,OUT010
NCP41,1593.63115409,OUT045
FDY10,1834.19171968,OUT013
FDP12,662.505834432,OUT018
NCN26,1941.05460484,OUT049
FDK44,2856.68658711,OUT013
FDC28,1595.99889973,OUT049
FDJ41,5835.22405874,OUT027
NCT29,1999.27119589,OUT035
NCH42,575.271364313,OUT019
FDU60,2675.82306438,OUT018
FDS02,3052.56008119,OUT045
FDC51,1999.27119589,OUT046
FDU03,3052.56008119,OUT013
FDX39,3689.74186489,OUT045
NCY05,129.568768788,OUT010
NCL06,5835.22405874,OUT027
FDD32,1341.04419003,OUT035
NCN41,1999.27119589,OUT045
NCX53,2030.114711,OUT049
FDU57,372.454344554,OUT019
FDQ23,1579.86629121,OUT046
FDQ52,3997.55110043,OUT045
FDC14,668.906653759,OUT045
FDY09,2884.20382446,OUT035
FDQ28,2513.68035817,OUT045
FDV25,3740.92966256,OUT046
FDJ07,1944.2245564,OUT035
DRB25,1584.21219819,OUT049
FDK52,573.997195719,OUT019
FDY52,1341.51419728,OUT027
FDB28,3052.56008119,OUT046
FDT36,662.176133072,OUT035
FDV25,3767.38946672,OUT017
NCN07,2974.56012237,OUT027
FDC57,3052.56008119,OUT017
FDQ03,3680.13139592,OUT018
FDU23,2681.20541474,OUT017
NCX41,3691.62195928,OUT035
NCD06,748.186466712,OUT035
FDW08,1591.27057092,OUT045
NCU29,2491.1847137,OUT017
NCE06,2549.68242817,OUT013
FDV52,272.593381999,OUT010
FDB02,2882.92471981,OUT017
NCR18,674.454342811,OUT045
FDK16,1525.48059442,OUT049
NCQ29,575.348525054,OUT010
FDZ01,243.571502275,OUT019
FDW27,2527.21829731,OUT035
FDD17,3660.07406851,OUT018
FDW39,2882.92471981,OUT013
DRH59,1107.08162893,OUT045
FDS52,1568.46031796,OUT013
FDU40,5753.03250652,OUT027
NCF54,2856.68658711,OUT013
FDH46,1579.86629121,OUT045
NCP14,1579.86629121,OUT049
FDH50,3052.56008119,OUT049
DRF15,374.843242942,OUT010
FDV27,2574.42719892,OUT027
NCJ06,1988.33723646,OUT049
FDN02,3283.54724195,OUT018
FDQ51,748.186466712,OUT049
FDQ07,3738.90077819,OUT017
FDS45,1579.86629121,OUT049
NCJ06,1999.27119589,OUT045
FDD36,1947.35474514,OUT035
FDY25,3052.56008119,OUT045
FDU52,2508.36699236,OUT046
DRK47,3793.29198048,OUT017
NCL30,2008.01358553,OUT017
FDN22,4032.40811892,OUT035
NCF30,2970.52478064,OUT027
FDK03,4033.6292522,OUT035
FDT45,911.76616521,OUT017
NCC54,5835.22405874,OUT027
FDP08,3049.64637667,OUT018
FDU44,2562.01689814,OUT046
DRG39,876.961871469,OUT035
FDU32,1999.27119589,OUT049
FDY27,2920.65399439,OUT049
NCP54,1999.27119589,OUT013
NCZ41,2008.01358553,OUT049
DRL49,2205.74923392,OUT013
FDI05,1371.03917,OUT018
FDY56,3783.81416198,OUT045
DRC13,2002.50192574,OUT013
NCV29,2951.71649271,OUT017
FDR24,1486.56167921,OUT049
FDZ34,3049.64637667,OUT018
FDP37,2008.01358553,OUT035
FDX08,4858.58142564,OUT027
FDS57,2030.114711,OUT045
NCG18,1579.86629121,OUT049
FDK25,2746.68714618,OUT018
FDH53,1359.30624459,OUT049
DRI59,3558.74053472,OUT018
FDA52,2886.45490582,OUT046
FDT20,129.568768788,OUT010
FDE36,380.411820088,OUT019
FDI24,2855.40748246,OUT017
FDB28,3087.68835586,OUT018
FDV11,2885.17580116,OUT017
FDP01,2509.64609702,OUT046
FDD34,4221.03741843,OUT027
FDJ50,1085.05945205,OUT027
FDZ44,1965.49402538,OUT013
DRO59,1169.58873323,OUT035
DRB48,667.350564296,OUT045
FDR21,2851.30423675,OUT018
NCE42,575.146008148,OUT010
FDO23,1519.45634019,OUT046
NCE30,3476.83974479,OUT018
FDQ22,663.07846424,OUT035
FDY01,1941.05460484,OUT045
FDS08,2887.66223064,OUT017
FDG28,3726.37939613,OUT018
FDQ51,748.98492938,OUT018
FDB05,3996.29844043,OUT017
FDO56,1947.35474514,OUT049
FDE02,1533.13716548,OUT018
FDN45,3745.69813303,OUT017
FDS09,748.98492938,OUT013
NCA54,3003.79684059,OUT018
FDP09,570.715895613,OUT010
FDC53,1534.68300074,OUT045
NCM55,3052.56008119,OUT017
FDL09,2751.30580376,OUT018
FDA11,231.707728663,OUT019
FDA50,1525.48059442,OUT045
FDC23,2947.19241259,OUT017
FDE22,2544.7957428,OUT049
FDD23,3052.56008119,OUT046
NCA29,2855.40748246,OUT049
FDK38,2493.64816848,OUT046
DRC13,1999.27119589,OUT046
NCP43,2947.19241259,OUT049
FDX28,1534.68300074,OUT049
FDF08,1486.56167921,OUT049
FDZ33,2493.64816848,OUT046
FDD10,2921.93309904,OUT049
FDO58,2556.94204917,OUT017
FDI50,3834.29012051,OUT017
FDO58,2569.35758091,OUT045
FDX08,3006.93751171,OUT013
NCK17,129.568768788,OUT010
FDF39,4086.54085389,OUT035
FDU45,265.679908847,OUT010
NCJ18,1947.35474514,OUT018
DRC27,573.879215266,OUT019
DRC25,1444.66875521,OUT035
